year,month,date_of_month,date,day_of_week,births
1994,7,6,1994-07-06,Wed,13086
1994,7,7,1994-07-07,Thurs,13049
1994,8,14,1994-08-14,Sun,8926
1994,9,16,1994-09-16,Fri,12884
1994,9,17,1994-09-17,Sat,9779
1994,11,21,1994-11-21,Mon,11807
1994,12,20,1994-12-20,Tues,12880
1995,9,6,1995-09-06,Wed,12951
1995,9,7,1995-09-07,Thurs,12924
1995,9,9,1995-09-09,Sat,9714
1995,9,15,1995-09-15,Fri,13023
1995,9,17,1995-09-17,Sun,8757
1995,9,18,1995-09-18,Mon,11729
1995,9,26,1995-09-26,Tues,12814
1996,7,2,1996-07-02,Tues,13167
1996,9,4,1996-09-04,Wed,12970
1996,9,16,1996-09-16,Mon,12107
1996,9,21,1996-09-21,Sat,9492
1996,9,22,1996-09-22,Sun,8694
1996,9,26,1996-09-26,Thurs,12684
1996,9,27,1996-09-27,Fri,12756
1997,6,28,1997-06-28,Sat,9184
1997,7,2,1997-07-02,Wed,12820
1997,7,17,1997-07-17,Thurs,12552
1997,9,7,1997-09-07,Sun,8281
1997,9,19,1997-09-19,Fri,12560
1997,12,29,1997-12-29,Mon,12206
1997,12,30,1997-12-30,Tues,13521
1998,9,9,1998-09-09,Wed,13501
1998,9,10,1998-09-10,Thurs,13306
1998,9,13,1998-09-13,Sun,8434
1998,9,18,1998-09-18,Fri,13030
1998,9,19,1998-09-19,Sat,9541
1998,12,21,1998-12-21,Mon,12414
1998,12,29,1998-12-29,Tues,13637
1999,9,8,1999-09-08,Wed,13437
1999,9,9,1999-09-09,Thurs,14540
1999,9,10,1999-09-10,Fri,13181
1999,9,11,1999-09-11,Sat,9634
1999,9,19,1999-09-19,Sun,8559
1999,12,20,1999-12-20,Mon,12497
1999,12,21,1999-12-21,Tues,13508
2000,7,6,2000-07-06,Thurs,13558
2000,7,7,2000-07-07,Fri,13372
2000,9,6,2000-09-06,Wed,13577
2000,9,9,2000-09-09,Sat,9617
2000,9,17,2000-09-17,Sun,8512
2000,11,20,2000-11-20,Mon,12625
2000,11,21,2000-11-21,Tues,13672
2001,9,5,2001-09-05,Wed,13730
2001,9,15,2001-09-15,Sat,9470
2001,9,23,2001-09-23,Sun,8341
2001,9,25,2001-09-25,Tues,13695
2001,11,19,2001-11-19,Mon,12487
2001,12,27,2001-12-27,Thurs,13762
2001,12,28,2001-12-28,Fri,13918
2002,9,4,2002-09-04,Wed,13675
2002,9,12,2002-09-12,Thurs,13982
2002,9,15,2002-09-15,Sun,8331
2002,9,21,2002-09-21,Sat,9436
2002,9,24,2002-09-24,Tues,13884
2002,12,20,2002-12-20,Fri,13690
2002,12,30,2002-12-30,Mon,12906
2003,9,3,2003-09-03,Wed,14119
2003,9,4,2003-09-04,Thurs,13870
2003,9,12,2003-09-12,Fri,13621
2003,9,14,2003-09-14,Sun,8415
2003,9,20,2003-09-20,Sat,9522
2003,12,22,2003-12-22,Mon,12967
2003,12,30,2003-12-30,Tues,14438
